,iata,iso,name,continent,type,lat,lon,size,status
3203,KIV,MD,Chi?in?u International Airport,EU,airport,46.935444,28.934967,medium,1
3204,GZA,PS,Yasser Arafat International Airport,AS,closed,,,,0
3205,OHD,MK,Ohrid St. Paul the Apostle Airport,EU,airport,41.185,20.743055,medium,1
3206,SKP,MK,Skopje Alexander the Great Airport,EU,airport,41.95649,21.62872,medium,1
3207,GIB,GI,Gibraltar Airport,EU,airport,36.153763,-5.349271,medium,1
3208,BCQ,LY,Brack Airport,AF,airport,27.683332,14.216667,medium,1
3209,DNF,LY,Martubah Airport,AF,airport,32.55,22.766666,small,1
3210,MRA,LY,Misratah Airport,AF,airport,32.4,15.066667,small,1
3211,QUB,LY,Ubari Airport,AF,airport,26.568268,12.820452,small,1
3212,UZC,RS,Ponikve Airport,EU,airport,43.898834,19.697403,small,1
3213,BEG,RS,Belgrade Nikola Tesla Airport,EU,airport,44.819443,20.306944,large,1
3214,LJB,RS,Airport Lisicji Jarak,EU,airport,,,small,1
3215,IVG,ME,Berane Airport,EU,airport,42.839027,19.862028,small,1
3216,BJY,RS,Batajnica Air Base,EU,airport,44.93528,20.2575,medium,1
3217,GJA,KS,?akovica Airfield,EU,airport,16.445,-85.90583,medium,1
3218,KID,RS,Airport Drakslerov salas Kikinda,EU,airport,55.919445,14.088889,small,1
3219,INI,RS,Nis Airport,EU,airport,43.33389,21.851667,medium,1
3220,QND,RS,Cenej Airport,EU,airport,,,small,1
3221,TGD,ME,Podgorica Airport,EU,airport,42.368023,19.246023,large,1
3222,TIV,ME,Tivat Airport,EU,airport,42.40361,18.725555,medium,1
3223,BTS,SK,,EU,airport,48.170017,17.199799,large,1
3224,KSC,SK,,EU,airport,48.666668,21.25,medium,1
3225,LUE,SK,Lu?enec Airport,EU,airport,48.333332,19.666668,small,1
3226,PZY,SK,,EU,airport,48.63333,17.833332,medium,1
3227,POV,SK,,EU,airport,49.0,21.25,small,1
3228,SLD,SK,Slia? Airport,EU,airport,48.63333,19.133333,medium,1
3229,ILZ,SK,,EU,airport,49.233334,18.766666,medium,1
